Employee ID,Basic Salary,House Rent Allowance,Travel Allowance,Provident Fund,Income Tax,Insurance,Professional Tax,ESIC
EMP0033,791613,158322,15832,94993,0.05,23748,200,31664
EMP0034,484173,96834,9683,58100,0.1,14525,200,19366
EMP0035,371851,74370,7437,44622,0.1,11155,200,14874
EMP0036,536672,107334,10733,64400,0.1,16100,200,21466
EMP0037,536013,107202,10720,64321,0.1,16080,200,21440
EMP0038,780721,156144,15614,93686,0.05,23421,200,31228
EMP0039,410280,82056,8205,49233,0.1,12308,200,16411
EMP0040,874961,174992,17499,104995,0.05,26248,200,34998
EMP0041,916360,183272,18327,109963,0.05,27490,200,36654
EMP0042,836612,167322,16732,100393,0.05,25098,200,33464
EMP0043,843524,168704,16870,101222,0.05,25305,200,33740
EMP0044,423017,84603,8460,50762,0.1,12690,200,16920
EMP0045,822252,164450,16445,98670,0.05,24667,200,32890
EMP0046,492714,98542,9854,59125,0.1,14781,200,19708
EMP0047,301845,60369,6036,36221,0.1,9055,200,12073
EMP0048,715379,143075,14307,85845,0.05,21461,200,28615
EMP0049,436195,87239,8723,52343,0.1,13085,200,17447
EMP0050,601946,120389,12038,72233,0.1,18058,200,24077
EMP0051,539313,107862,10786,64717,0.1,16179,200,21572
EMP0052,794310,158862,15886,95317,0.05,23829,200,31772
EMP0053,457328,91465,9146,54879,0.1,13719,200,18293
EMP0054,626792,125358,12535,75215,0.1,18803,200,25071
EMP0055,829872,165974,16597,99584,0.05,24896,200,33194
EMP0056,337941,67588,6758,40552,0.1,10138,200,13517
EMP0057,574321,114864,11486,68918,0.1,17229,200,22972
EMP0058,534903,106980,10698,64188,0.1,16047,200,21396
EMP0059,716491,143298,14329,85978,0.05,21494,200,28659
EMP0060,937197,187439,18743,112463,0.05,28115,200,37487
EMP0061,687040,137408,13740,82444,0.1,20611,200,27481
EMP0062,909108,181821,18182,109092,0.05,27273,200,36364
EMP0063,871899,174379,17437,104627,0.05,26156,200,34875
EMP0064,793062,158612,15861,95167,0.05,23791,200,31722
EMP0065,653610,130722,13072,78433,0.1,19608,200,26144
EMP0066,731686,146337,14633,87802,0.05,21950,200,29267
EMP0067,432162,86432,8643,51859,0.1,12964,200,17286
EMP0068,952292,190458,19045,114275,0.05,28568,200,38091
EMP0069,314526,62905,6290,37743,0.1,9435,200,12581
EMP0070,998705,199741,19974,119844,0.05,29961,200,39948
EMP0071,389842,77968,7796,46781,0.1,11695,200,15593
EMP0072,428019,85603,8560,51362,0.1,12840,200,17120
EMP0073,728214,145642,14564,87385,0.05,21846,200,29128
EMP0074,491480,98296,9829,58977,0.1,14744,200,19659
EMP0075,342372,68474,6847,41084,0.1,10271,200,13694
EMP0076,831334,166266,16626,99760,0.05,24940,200,33253
EMP0077,688723,137744,13774,82646,0.1,20661,200,27548
EMP0078,683137,136627,13662,81976,0.1,20494,200,27325
EMP0079,669254,133850,13385,80310,0.1,20077,200,26770
EMP0080,927650,185530,18553,111318,0.05,27829,200,37106
EMP0081,518424,103684,10368,62210,0.1,15552,200,20736
EMP0082,426047,85209,8520,51125,0.1,12781,200,17041
EMP0083,419561,83912,8391,50347,0.1,12586,200,16782
EMP0084,712792,142558,14255,85535,0.05,21383,200,28511
EMP0085,599034,119806,11980,71884,0.1,17971,200,23961
EMP0086,511197,102239,10223,61343,0.1,15335,200,20447
EMP0087,997373,199474,19947,119684,0.05,29921,200,39894
EMP0088,421871,84374,8437,50624,0.1,12656,200,16874
EMP0089,771583,154316,15431,92589,0.05,23147,200,30863
EMP0090,616440,123288,12328,73972,0.1,18493,200,24657
EMP0091,469193,93838,9383,56303,0.1,14075,200,18767
EMP0092,342766,68553,6855,41131,0.1,10282,200,13710
EMP0093,323930,64786,6478,38871,0.1,9717,200,12957
EMP0094,474618,94923,9492,56954,0.1,14238,200,18984
EMP0095,579982,115996,11599,69597,0.1,17399,200,23199
EMP0096,581801,116360,11636,69816,0.1,17454,200,23272
EMP0097,635518,127103,12710,76262,0.1,19065,200,25420
EMP0098,366554,73310,7331,43986,0.1,10996,200,14662
EMP0099,562359,112471,11247,67483,0.1,16870,200,22494
EMP0100,947487,189497,18949,113698,0.05,28424,200,37899
EMP0101,431167,86233,8623,51740,0.1,12935,200,17246
EMP0102,713955,142791,14279,85674,0.05,21418,200,28558
EMP0103,434437,86887,8688,52132,0.1,13033,200,17377
EMP0104,743008,148601,14860,89160,0.05,22290,200,29720
EMP0105,331101,66220,6622,39732,0.1,9933,200,13244
EMP0106,486929,97385,9738,58431,0.1,14607,200,19477
EMP0107,501622,100324,10032,60194,0.1,15048,200,20064
EMP0108,957077,191415,19141,114849,0.05,28712,200,38283
EMP0109,302193,60438,6043,36263,0.1,9065,200,12087
EMP0110,300770,60154,6015,36092,0.1,9023,200,12030
EMP0111,482470,96494,9649,57896,0.1,14474,200,19298
EMP0112,578040,115608,11560,69364,0.1,17341,200,23121
EMP0113,968675,193735,19373,116241,0.05,29060,200,38747
EMP0114,625397,125079,12507,75047,0.1,18761,200,25015
EMP0115,697083,139416,13941,83649,0.1,20912,200,27883
EMP0116,485758,97151,9715,58290,0.1,14572,200,19430
EMP0117,452288,90457,9045,54274,0.1,13568,200,18091
EMP0118,810969,162193,16219,97316,0.05,24329,200,32438
EMP0119,520421,104084,10408,62450,0.1,15612,200,20816
EMP0120,625751,125150,12515,75090,0.1,18772,200,25030
EMP0121,492192,98438,9843,59063,0.1,14765,200,19687
EMP0122,818613,163722,16372,98233,0.05,24558,200,32744
EMP0123,846410,169282,16928,101569,0.05,25392,200,33856
EMP0124,444644,88928,8892,53357,0.1,13339,200,17785
EMP0125,448582,89716,8971,53829,0.1,13457,200,17943
EMP0126,377924,75584,7558,45350,0.1,11337,200,15116
EMP0127,940553,188110,18811,112866,0.05,28216,200,37622
EMP0128,820598,164119,16411,98471,0.05,24617,200,32823
EMP0129,389869,77973,7797,46784,0.1,11696,200,15594
EMP0130,422165,84433,8443,50659,0.1,12664,200,16886
EMP0131,966443,193288,19328,115973,0.05,28993,200,38657
EMP0132,985891,197178,19717,118306,0.05,29576,200,39435
EMP0133,335920,67184,6718,40310,0.1,10077,200,13436
EMP0134,338175,67635,6763,40581,0.1,10145,200,13527
EMP0135,595838,119167,11916,71500,0.1,17875,200,23833
EMP0136,318267,63653,6365,38192,0.1,9548,200,12730
EMP0137,551203,110240,11024,66144,0.1,16536,200,22048
EMP0138,912812,182562,18256,109537,0.05,27384,200,36512
EMP0139,932301,186460,18646,111876,0.05,27969,200,37292
EMP0140,879497,175899,17589,105539,0.05,26384,200,35179
EMP0141,700140,140028,14002,84016,0.05,21004,200,28005
EMP0142,332190,66438,6643,39862,0.1,9965,200,13287
EMP0143,783612,156722,15672,94033,0.05,23508,200,31344
EMP0144,929745,185949,18594,111569,0.05,27892,200,37189
EMP0145,409081,81816,8181,49089,0.1,12272,200,16363
EMP0146,982493,196498,19649,117899,0.05,29474,200,39299
EMP0147,442984,88596,8859,53158,0.1,13289,200,17719
EMP0148,370270,74054,7405,44432,0.1,11108,200,14810
EMP0149,822723,164544,16454,98726,0.05,24681,200,32908
EMP0150,999720,199944,19994,119966,0.05,29991,200,39988
EMP0151,590473,118094,11809,70856,0.1,17714,200,23618
EMP0152,505464,101092,10109,60655,0.1,15163,200,20218
EMP0153,663706,132741,13274,79644,0.1,19911,200,26548
EMP0154,858976,171795,17179,103077,0.05,25769,200,34359
EMP0155,734572,146914,14691,88148,0.05,22037,200,29382
EMP0156,643037,128607,12860,77164,0.1,19291,200,25721
EMP0157,481579,96315,9631,57789,0.1,14447,200,19263
EMP0158,508617,101723,10172,61034,0.1,15258,200,20344
EMP0159,904814,180962,18096,108577,0.05,27144,200,36192
EMP0160,501658,100331,10033,60198,0.1,15049,200,20066
EMP0161,802276,160455,16045,96273,0.05,24068,200,32091
EMP0162,497162,99432,9943,59659,0.1,14914,200,19886
EMP0163,523554,104710,10471,62826,0.1,15706,200,20942
EMP0164,901546,180309,18030,108185,0.05,27046,200,36061
EMP0165,370449,74089,7408,44453,0.1,11113,200,14817
EMP0166,407971,81594,8159,48956,0.1,12239,200,16318
EMP0167,403725,80745,8074,48447,0.1,12111,200,16149
EMP0168,569451,113890,11389,68334,0.1,17083,200,22778
EMP0169,920718,184143,18414,110486,0.05,27621,200,36828
EMP0170,402053,80410,8041,48246,0.1,12061,200,16082
EMP0171,517948,103589,10358,62153,0.1,15538,200,20717
EMP0172,985328,197065,19706,118239,0.05,29559,200,39413
EMP0173,347375,69475,6947,41685,0.1,10421,200,13895
EMP0174,737971,147594,14759,88556,0.05,22139,200,29518
EMP0175,395246,79049,7904,47429,0.1,11857,200,15809
EMP0176,770546,154109,15410,92465,0.05,23116,200,30821
EMP0177,590180,118036,11803,70821,0.1,17705,200,23607
EMP0178,407394,81478,8147,48887,0.1,12221,200,16295
EMP0179,893272,178654,17865,107192,0.05,26798,200,35730
EMP0180,804788,160957,16095,96574,0.05,24143,200,32191
EMP0181,635863,127172,12717,76303,0.1,19075,200,25434
EMP0182,576551,115310,11531,69186,0.1,17296,200,23062
EMP0183,758422,151684,15168,91010,0.05,22752,200,30336
EMP0184,875345,175069,17506,105041,0.05,26260,200,35013
EMP0185,853934,170786,17078,102472,0.05,25618,200,34157
EMP0186,607397,121479,12147,72887,0.1,18221,200,24295
EMP0187,912002,182400,18240,109440,0.05,27360,200,36480
EMP0188,317145,63429,6342,38057,0.1,9514,200,12685
EMP0189,479585,95917,9591,57550,0.1,14387,200,19183
EMP0190,376551,75310,7531,45186,0.1,11296,200,15062
EMP0191,744999,148999,14899,89399,0.05,22349,200,29799
EMP0192,686279,137255,13725,82353,0.1,20588,200,27451
EMP0193,789449,157889,15788,94733,0.05,23683,200,31577
EMP0194,412567,82513,8251,49508,0.1,12377,200,16502
EMP0195,730091,146018,14601,87610,0.05,21902,200,29203
EMP0196,526449,105289,10528,63173,0.1,15793,200,21057
EMP0197,321119,64223,6422,38534,0.1,9633,200,12844
EMP0198,371391,74278,7427,44566,0.1,11141,200,14855
EMP0199,902436,180487,18048,108292,0.05,27073,200,36097
EMP0200,402552,80510,8051,48306,0.1,12076,200,16102
EMP0201,988449,197689,19768,118613,0.05,29653,200,39537
EMP0202,563753,112750,11275,67650,0.1,16912,200,22550
EMP0203,707892,141578,14157,84947,0.05,21236,200,28315
EMP0204,376085,75217,7521,45130,0.1,11282,200,15043
EMP0205,959176,191835,19183,115101,0.05,28775,200,38367
EMP0206,580921,116184,11618,69710,0.1,17427,200,23236
EMP0207,530070,106014,10601,63608,0.1,15902,200,21202
EMP0208,541385,108277,10827,64966,0.1,16241,200,21655
EMP0209,497453,99490,9949,59694,0.1,14923,200,19898
EMP0210,624957,124991,12499,74994,0.1,18748,200,24998
EMP0211,939910,187982,18798,112789,0.05,28197,200,37596
EMP0212,545941,109188,10918,65512,0.1,16378,200,21837
EMP0213,816791,163358,16335,98014,0.05,24503,200,32671
EMP0214,686091,137218,13721,82330,0.1,20582,200,27443
EMP0215,860500,172100,17210,103260,0.05,25815,200,34420
EMP0216,776633,155326,15532,93195,0.05,23298,200,31065
EMP0217,813003,162600,16260,97560,0.05,24390,200,32520
EMP0218,804366,160873,16087,96523,0.05,24130,200,32174
EMP0219,561355,112271,11227,67362,0.1,16840,200,22454
EMP0220,434820,86964,8696,52178,0.1,13044,200,17392
EMP0221,978195,195639,19563,117383,0.05,29345,200,39127
EMP0222,389880,77976,7797,46785,0.1,11696,200,15595
EMP0223,539427,107885,10788,64731,0.1,16182,200,21577
EMP0224,823077,164615,16461,98769,0.05,24692,200,32923
EMP0225,816487,163297,16329,97978,0.05,24494,200,32659
EMP0226,427797,85559,8555,51335,0.1,12833,200,17111
EMP0227,670541,134108,13410,80464,0.1,20116,200,26821
EMP0228,825991,165198,16519,99118,0.05,24779,200,33039
EMP0229,604181,120836,12083,72501,0.1,18125,200,24167
EMP0230,996168,199233,19923,119540,0.05,29885,200,39846
EMP0231,522100,104420,10442,62652,0.1,15663,200,20884
EMP0232,624732,124946,12494,74967,0.1,18741,200,24989
EMP0233,601373,120274,12027,72164,0.1,18041,200,24054
EMP0234,987686,197537,19753,118522,0.05,29630,200,39507
EMP0235,662061,132412,13241,79447,0.1,19861,200,26482
EMP0236,543699,108739,10873,65243,0.1,16310,200,21747
EMP0237,874032,174806,17480,104883,0.05,26220,200,34961
EMP0238,967785,193557,19355,116134,0.05,29033,200,38711
EMP0239,632631,126526,12652,75915,0.1,18978,200,25305
EMP0240,788310,157662,15766,94597,0.05,23649,200,31532
EMP0241,860215,172043,17204,103225,0.05,25806,200,34408
EMP0242,459425,91885,9188,55131,0.1,13782,200,18377
EMP0243,544984,108996,10899,65398,0.1,16349,200,21799
EMP0244,657892,131578,13157,78947,0.1,19736,200,26315
EMP0245,430707,86141,8614,51684,0.1,12921,200,17228
EMP0246,302296,60459,6045,36275,0.1,9068,200,12091
EMP0247,730439,146087,14608,87652,0.05,21913,200,29217
EMP0248,591896,118379,11837,71027,0.1,17756,200,23675
EMP0249,605131,121026,12102,72615,0.1,18153,200,24205
EMP0250,341891,68378,6837,41026,0.1,10256,200,13675
EMP0251,997371,199474,19947,119684,0.05,29921,200,39894
EMP0252,849937,169987,16998,101992,0.05,25498,200,33997
EMP0253,866957,173391,17339,104034,0.05,26008,200,34678
EMP0254,687534,137506,13750,82504,0.1,20626,200,27501
EMP0255,531053,106210,10621,63726,0.1,15931,200,21242
EMP0256,658481,131696,13169,79017,0.1,19754,200,26339
EMP0257,456771,91354,9135,54812,0.1,13703,200,18270
EMP0258,667444,133488,13348,80093,0.1,20023,200,26697
EMP0259,442502,88500,8850,53100,0.1,13275,200,17700
EMP0260,745803,149160,14916,89496,0.05,22374,200,29832
EMP0261,891076,178215,17821,106929,0.05,26732,200,35643
EMP0262,926066,185213,18521,111127,0.05,27781,200,37042
EMP0263,873447,174689,17468,104813,0.05,26203,200,34937
EMP0264,706136,141227,14122,84736,0.05,21184,200,28245
EMP0265,486759,97351,9735,58411,0.1,14602,200,19470
EMP0266,879125,175825,17582,105495,0.05,26373,200,35165
EMP0267,906894,181378,18137,108827,0.05,27206,200,36275
EMP0268,853341,170668,17066,102400,0.05,25600,200,34133
EMP0269,301271,60254,6025,36152,0.1,9038,200,12050
EMP0270,781218,156243,15624,93746,0.05,23436,200,31248
EMP0271,571638,114327,11432,68596,0.1,17149,200,22865
EMP0272,555940,111188,11118,66712,0.1,16678,200,22237
EMP0273,572631,114526,11452,68715,0.1,17178,200,22905
EMP0274,508290,101658,10165,60994,0.1,15248,200,20331
EMP0275,669043,133808,13380,80285,0.1,20071,200,26761
EMP0276,664919,132983,13298,79790,0.1,19947,200,26596
EMP0277,691922,138384,13838,83030,0.1,20757,200,27676
EMP0278,770114,154022,15402,92413,0.05,23103,200,30804
EMP0279,313812,62762,6276,37657,0.1,9414,200,12552
EMP0280,976812,195362,19536,117217,0.05,29304,200,39072
EMP0281,446411,89282,8928,53569,0.1,13392,200,17856
EMP0282,637332,127466,12746,76479,0.1,19119,200,25493
EMP0283,547984,109596,10959,65758,0.1,16439,200,21919
EMP0284,423789,84757,8475,50854,0.1,12713,200,16951
EMP0285,567442,113488,11348,68093,0.1,17023,200,22697
EMP0286,684725,136945,13694,82167,0.1,20541,200,27389
EMP0287,459845,91969,9196,55181,0.1,13795,200,18393
EMP0288,987187,197437,19743,118462,0.05,29615,200,39487
EMP0289,470451,94090,9409,56454,0.1,14113,200,18818
EMP0290,312445,62489,6248,37493,0.1,9373,200,12497
EMP0291,317620,63524,6352,38114,0.1,9528,200,12704
EMP0292,487132,97426,9742,58455,0.1,14613,200,19485
EMP0293,813651,162730,16273,97638,0.05,24409,200,32546
EMP0294,438993,87798,8779,52679,0.1,13169,200,17559
EMP0295,524405,104881,10488,62928,0.1,15732,200,20976
EMP0296,949260,189852,18985,113911,0.05,28477,200,37970
EMP0297,857744,171548,17154,102929,0.05,25732,200,34309
EMP0298,884002,176800,17680,106080,0.05,26520,200,35360
EMP0299,779521,155904,15590,93542,0.05,23385,200,31180
EMP0300,596030,119206,11920,71523,0.1,17880,200,23841
EMP0301,869888,173977,17397,104386,0.05,26096,200,34795
EMP0302,889790,177958,17795,106774,0.05,26693,200,35591
EMP0303,622659,124531,12453,74719,0.1,18679,200,24906
EMP0304,697473,139494,13949,83696,0.1,20924,200,27898
EMP0305,778574,155714,15571,93428,0.05,23357,200,31142
EMP0306,781657,156331,15633,93798,0.05,23449,200,31266
EMP0307,451754,90350,9035,54210,0.1,13552,200,18070
EMP0308,320572,64114,6411,38468,0.1,9617,200,12822
EMP0309,879289,175857,17585,105514,0.05,26378,200,35171
EMP0310,392212,78442,7844,47065,0.1,11766,200,15688
EMP0311,869038,173807,17380,104284,0.05,26071,200,34761
EMP0312,527070,105414,10541,63248,0.1,15812,200,21082
EMP0313,703944,140788,14078,84473,0.05,21118,200,28157
EMP0314,488543,97708,9770,58625,0.1,14656,200,19541
EMP0315,365667,73133,7313,43880,0.1,10970,200,14626
EMP0316,819344,163868,16386,98321,0.05,24580,200,32773
EMP0317,454847,90969,9096,54581,0.1,13645,200,18193
EMP0318,302145,60429,6042,36257,0.1,9064,200,12085
EMP0319,721239,144247,14424,86548,0.05,21637,200,28849
EMP0320,532874,106574,10657,63944,0.1,15986,200,21314
EMP0321,331612,66322,6632,39793,0.1,9948,200,13264
EMP0322,599492,119898,11989,71939,0.1,17984,200,23979
EMP0323,455634,91126,9112,54676,0.1,13669,200,18225
EMP0324,803048,160609,16060,96365,0.05,24091,200,32121
EMP0325,890994,178198,17819,106919,0.05,26729,200,35639
EMP0326,447985,89597,8959,53758,0.1,13439,200,17919
EMP0327,453951,90790,9079,54474,0.1,13618,200,18158
EMP0328,994804,198960,19896,119376,0.05,29844,200,39792
EMP0329,307651,61530,6153,36918,0.1,9229,200,12306
EMP0330,845125,169025,16902,101415,0.05,25353,200,33805
EMP0331,545002,109000,10900,65400,0.1,16350,200,21800
EMP0332,956457,191291,19129,114774,0.05,28693,200,38258
EMP0333,378710,75742,7574,45445,0.1,11361,200,15148
EMP0334,791580,158316,15831,94989,0.05,23747,200,31663
EMP0335,360891,72178,7217,43306,0.1,10826,200,14435
EMP0336,836680,167336,16733,100401,0.05,25100,200,33467
EMP0337,928239,185647,18564,111388,0.05,27847,200,37129
EMP0338,570225,114045,11404,68427,0.1,17106,200,22809
EMP0339,995076,199015,19901,119409,0.05,29852,200,39803
EMP0340,767815,153563,15356,92137,0.05,23034,200,30712
EMP0341,626118,125223,12522,75134,0.1,18783,200,25044
EMP0342,345021,69004,6900,41402,0.1,10350,200,13800
EMP0343,831846,166369,16636,99821,0.05,24955,200,33273
EMP0344,546293,109258,10925,65555,0.1,16388,200,21851
EMP0345,373565,74713,7471,44827,0.1,11206,200,14942
EMP0346,620947,124189,12418,74513,0.1,18628,200,24837
EMP0347,855196,171039,17103,102623,0.05,25655,200,34207
EMP0348,695144,139028,13902,83417,0.1,20854,200,27805
EMP0349,947130,189426,18942,113655,0.05,28413,200,37885
EMP0350,582808,116561,11656,69936,0.1,17484,200,23312
EMP0351,966591,193318,19331,115990,0.05,28997,200,38663
EMP0352,371927,74385,7438,44631,0.1,11157,200,14877
EMP0353,909678,181935,18193,109161,0.05,27290,200,36387
EMP0354,428701,85740,8574,51444,0.1,12861,200,17148
EMP0355,597893,119578,11957,71747,0.1,17936,200,23915
EMP0356,860466,172093,17209,103255,0.05,25813,200,34418
EMP0357,321186,64237,6423,38542,0.1,9635,200,12847
EMP0358,794808,158961,15896,95376,0.05,23844,200,31792
EMP0359,909983,181996,18199,109197,0.05,27299,200,36399
EMP0360,730682,146136,14613,87681,0.05,21920,200,29227
EMP0361,697617,139523,13952,83714,0.1,20928,200,27904
EMP0362,915409,183081,18308,109849,0.05,27462,200,36616
EMP0363,489859,97971,9797,58783,0.1,14695,200,19594
EMP0364,925188,185037,18503,111022,0.05,27755,200,37007
EMP0365,877545,175509,17550,105305,0.05,26326,200,35101
EMP0366,928686,185737,18573,111442,0.05,27860,200,37147
EMP0367,630148,126029,12602,75617,0.1,18904,200,25205
EMP0368,640852,128170,12817,76902,0.1,19225,200,25634
EMP0369,896175,179235,17923,107541,0.05,26885,200,35847
EMP0370,440198,88039,8803,52823,0.1,13205,200,17607
EMP0371,645481,129096,12909,77457,0.1,19364,200,25819
EMP0372,906537,181307,18130,108784,0.05,27196,200,36261
EMP0373,447813,89562,8956,53737,0.1,13434,200,17912
EMP0374,548104,109620,10962,65772,0.1,16443,200,21924
EMP0375,425947,85189,8518,51113,0.1,12778,200,17037
EMP0376,356451,71290,7129,42774,0.1,10693,200,14258
EMP0377,771818,154363,15436,92618,0.05,23154,200,30872
EMP0378,843944,168788,16878,101273,0.05,25318,200,33757
EMP0379,980259,196051,19605,117631,0.05,29407,200,39210
EMP0380,398433,79686,7968,47811,0.1,11952,200,15937
EMP0381,819027,163805,16380,98283,0.05,24570,200,32761
EMP0382,536175,107235,10723,64341,0.1,16085,200,21447
EMP0383,323027,64605,6460,38763,0.1,9690,200,12921
EMP0384,768112,153622,15362,92173,0.05,23043,200,30724
EMP0385,670959,134191,13419,80515,0.1,20128,200,26838
EMP0386,852090,170418,17041,102250,0.05,25562,200,34083
EMP0387,497222,99444,9944,59666,0.1,14916,200,19888
EMP0388,915134,183026,18302,109816,0.05,27454,200,36605
EMP0389,388901,77780,7778,46668,0.1,11667,200,15556
EMP0390,436281,87256,8725,52353,0.1,13088,200,17451
EMP0391,319872,63974,6397,38384,0.1,9596,200,12794
EMP0392,909275,181855,18185,109113,0.05,27278,200,36371
EMP0393,737877,147575,14757,88545,0.05,22136,200,29515
EMP0394,333506,66701,6670,40020,0.1,10005,200,13340
EMP0395,567145,113429,11342,68057,0.1,17014,200,22685
EMP0396,464972,92994,9299,55796,0.1,13949,200,18598
EMP0397,389853,77970,7797,46782,0.1,11695,200,15594
EMP0398,647396,129479,12947,77687,0.1,19421,200,25895
EMP0399,408412,81682,8168,49009,0.1,12252,200,16336
EMP0400,763431,152686,15268,91611,0.05,22902,200,30537
EMP0401,379206,75841,7584,45504,0.1,11376,200,15168
EMP0402,733205,146641,14664,87984,0.05,21996,200,29328
EMP0403,394096,78819,7881,47291,0.1,11822,200,15763
EMP0404,952377,190475,19047,114285,0.05,28571,200,38095
EMP0405,659426,131885,13188,79131,0.1,19782,200,26377
EMP0406,543001,108600,10860,65160,0.1,16290,200,21720
EMP0407,480192,96038,9603,57623,0.1,14405,200,19207
EMP0408,738306,147661,14766,88596,0.05,22149,200,29532
EMP0409,762267,152453,15245,91472,0.05,22868,200,30490
EMP0410,857452,171490,17149,102894,0.05,25723,200,34298
EMP0411,898229,179645,17964,107787,0.05,26946,200,35929
EMP0412,638136,127627,12762,76576,0.1,19144,200,25525
EMP0413,319013,63802,6380,38281,0.1,9570,200,12760
EMP0414,483410,96682,9668,58009,0.1,14502,200,19336
EMP0415,620121,124024,12402,74414,0.1,18603,200,24804
EMP0416,660565,132113,13211,79267,0.1,19816,200,26422
EMP0417,622858,124571,12457,74742,0.1,18685,200,24914
EMP0418,602891,120578,12057,72346,0.1,18086,200,24115
EMP0419,936206,187241,18724,112344,0.05,28086,200,37448
EMP0420,561260,112252,11225,67351,0.1,16837,200,22450
EMP0421,796265,159253,15925,95551,0.05,23887,200,31850
EMP0422,405928,81185,8118,48711,0.1,12177,200,16237
EMP0423,920760,184152,18415,110491,0.05,27622,200,36830
EMP0424,729432,145886,14588,87531,0.05,21882,200,29177
EMP0425,624639,124927,12492,74956,0.1,18739,200,24985
EMP0426,330557,66111,6611,39666,0.1,9916,200,13222
EMP0427,737218,147443,14744,88466,0.05,22116,200,29488
EMP0428,992921,198584,19858,119150,0.05,29787,200,39716
EMP0429,636141,127228,12722,76336,0.1,19084,200,25445
EMP0430,995320,199064,19906,119438,0.05,29859,200,39812
EMP0431,799771,159954,15995,95972,0.05,23993,200,31990
EMP0432,336004,67200,6720,40320,0.1,10080,200,13440
EMP0433,577666,115533,11553,69319,0.1,17329,200,23106
EMP0434,442056,88411,8841,53046,0.1,13261,200,17682
EMP0435,368515,73703,7370,44221,0.1,11055,200,14740
EMP0436,508082,101616,10161,60969,0.1,15242,200,20323
EMP0437,675957,135191,13519,81114,0.1,20278,200,27038
EMP0438,709580,141916,14191,85149,0.05,21287,200,28383
EMP0439,540527,108105,10810,64863,0.1,16215,200,21621
EMP0440,990144,198028,19802,118817,0.05,29704,200,39605
EMP0441,330700,66140,6614,39684,0.1,9921,200,13228
EMP0442,308980,61796,6179,37077,0.1,9269,200,12359
EMP0443,819740,163948,16394,98368,0.05,24592,200,32789
EMP0444,375323,75064,7506,45038,0.1,11259,200,15012
EMP0445,317693,63538,6353,38123,0.1,9530,200,12707
EMP0446,533673,106734,10673,64040,0.1,16010,200,21346
EMP0447,780470,156094,15609,93656,0.05,23414,200,31218
EMP0448,545248,109049,10904,65429,0.1,16357,200,21809
EMP0449,703080,140616,14061,84369,0.05,21092,200,28123
EMP0450,528385,105677,10567,63406,0.1,15851,200,21135
EMP0451,620592,124118,12411,74471,0.1,18617,200,24823
EMP0452,300652,60130,6013,36078,0.1,9019,200,12026
EMP0453,896867,179373,17937,107624,0.05,26906,200,35874
EMP0454,376781,75356,7535,45213,0.1,11303,200,15071
EMP0455,590817,118163,11816,70898,0.1,17724,200,23632
EMP0456,660298,132059,13205,79235,0.1,19808,200,26411
EMP0457,686206,137241,13724,82344,0.1,20586,200,27448
EMP0458,721699,144339,14433,86603,0.05,21650,200,28867
EMP0459,503045,100609,10060,60365,0.1,15091,200,20121
EMP0460,412851,82570,8257,49542,0.1,12385,200,16514
EMP0461,902268,180453,18045,108272,0.05,27068,200,36090
EMP0462,778339,155667,15566,93400,0.05,23350,200,31133
EMP0463,957345,191469,19146,114881,0.05,28720,200,38293
